Basin.Name,Native.Exotic.Status,Equilibrium,Opportunistic,Periodic,Country,Ecoregion,Median.Longitude,Median.Latitude,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD
Amahlongwa,Non-native,0.480781392,0.303207283,0.216011325,South Africa,Afrotropic,30.71384295,-30.22048361,104.647937,20.239781,261.3787113,4.65536809,99.88069411,6,0.69,0.072463768
Amansuri,Native,0.067947967,0.670364793,0.26168724,Ghana,Afrotropic,-2.483588576,5.068442005,872.3676023,26.56000164,107.172432,0.615063444,99.95670323,8,0.29,0.655172414
Amazon,Native,0.216259734,0.446024555,0.337715711,Brazil,Neotropic,-64.57285505,-6.714857006,5888416.916,24.69524502,66.37258702,0.238243382,99.90543136,2136,0.47,0.872340426
Amazon,Non-native,0.429111155,0.386899538,0.183989307,Brazil,Neotropic,-64.57285505,-6.714857006,5888416.916,24.69524502,66.37258702,0.238243382,99.90543136,2136,0.47,0.872340426
Amba,Native,0.115660078,0.365422854,0.518917068,India,Indo-Malay,73.17393307,18.62922476,900.28717,26.70105195,198.9007577,15.07934308,97.97617257,49,0.68,0.514705882
Amba,Non-native,0.225423942,0.159053315,0.615522743,India,Indo-Malay,73.17393307,18.62922476,900.28717,26.70105195,198.9007577,15.07934308,97.97617257,49,0.68,0.514705882
Ambalam.Oya,Native,0.115747641,0.393418037,0.490834322,Sri Lanka,Indo-Malay,81.74688953,7.174820563,159.0406773,27.66822914,125.8374856,3.374859393,99.41182155,28,0.45,0.622222222
Ambalam.Oya,Non-native,0.417017478,0.239760474,0.343222047,Sri Lanka,Indo-Malay,81.74688953,7.174820563,159.0406773,27.66822914,125.8374856,3.374859393,99.41182155,28,0.45,0.622222222
Amboyninghy.Point,Native,0.174513822,0.463630419,0.361855759,Australia,Australasia,141.8904884,-12.50270014,151.9625716,26.20139651,142.1607449,0.065467932,99.90144582,2,0.66,0.409090909
Ameca,Native,0.278259709,0.405373593,0.316366698,Mexico,Neotropic,-104.5008285,20.69148683,12281.46078,19.80078357,238.8376717,8.720870137,97.86230376,38,0.61,0.721311475
Ameca,Non-native,0.339131192,0.431024143,0.229844665,Mexico,Neotropic,-104.5008285,20.69148683,12281.46078,19.80078357,238.8376717,8.720870137,97.86230376,38,0.61,0.721311475
Amguema,Native,0.267263304,0.072595259,0.660141437,Russia,Palearctic,176.1066081,68.92792444,20969.98734,-12.81854109,1330.395793,0.014289873,99.99737263,20,0.74,0.581081081
Amu.Darya,Native,0.112892915,0.216109412,0.670997673,Uzbekistan,Palearctic,65.91790268,39.74440722,624690.054,9.208815267,1067.128879,0.527910873,98.70253948,49,0.43,0.860465116
Amu.Darya,Non-native,0.133379651,0.15575446,0.710865889,Uzbekistan,Palearctic,65.91790268,39.74440722,624690.054,9.208815267,1067.128879,0.527910873,98.70253948,49,0.43,0.860465116
Amur,Native,0.162599861,0.257659845,0.579740294,China,Palearctic,126.1503364,49.49515104,2011733.254,-1.053357109,1562.025663,0.760108694,99.4062136,141,0.52,0.884615385
Amur,Non-native,0.095312139,0.203248657,0.701439204,China,Palearctic,126.1503364,49.49515104,2011733.254,-1.053357109,1562.025663,0.760108694,99.4062136,141,0.52,0.884615385
An.Lao,Native,0.128231827,0.425530451,0.446237722,Vietnam,Indo-Malay,108.8943954,14.45333145,1388.855717,24.90643078,246.2904985,0.948202819,99.75100537,42,0.29,0.75862069
An.Lao,Non-native,0.413734462,0.586265538,0,Vietnam,Indo-Malay,108.8943954,14.45333145,1388.855717,24.90643078,246.2904985,0.948202819,99.75100537,42,0.29,0.75862069
Anabar,Native,0.146105027,0.123836183,0.73005879,Russia,Palearctic,113.5817506,70.64899221,92384.29419,-14.2911391,1829.947489,0.002080813,99.99773804,29,0.7,0.6
Anadyr,Native,0.279590552,0.113876685,0.606532763,Russia,Palearctic,171.4601481,65.50433861,175195.0926,-10.43778229,1544.156567,0.009021572,99.99839938,27,0.72,0.680555556
Anadyr,Non-native,0.138785864,0.016844653,0.844369483,Russia,Palearctic,171.4601481,65.50433861,175195.0926,-10.43778229,1544.156567,0.009021572,99.99839938,27,0.72,0.680555556
Anasco,Native,0.02886952,0.330805259,0.640325221,Puerto Rico,Neotropic,-66.95237622,18.22632014,469.1630528,23.28364997,132.1239028,22.74415016,96.21414197,39,0.45,0.222222222
Anasco,Non-native,0.22815239,0.212324348,0.559523262,Puerto Rico,Neotropic,-66.95237622,18.22632014,469.1630528,23.28364997,132.1239028,22.74415016,96.21414197,39,0.45,0.222222222
Ancharakandi,Native,0.117261212,0.435730487,0.447008301,India,Indo-Malay,75.6038021,11.86406387,369.8943832,26.66954981,139.3016272,8.649629474,99.75409354,28,0.56,0.767857143
