"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Scardinius_knezevici",6.31908469062033,6437.03470430234,1,1.88422587382066,1.49934157658442,29.5,2.099999905,0.200000003
"Alburnus_zagrosensis",5.257830709,5857.361973,1,1.926814189,1.612740995,12.97000027,2.799999952,0.430000007
"Alburnus_vistonicus",6.908232145,11826.63279,1,2.393613474,1.715599568,264.7,2.720000029,0.310000002
"Alburnus_sellal",6.95462703874591,7983.10800784998,1,1.97950522652449,1.52803557582261,26.20000076,2.720000029,0.219999999
"Alburnus_scoranza",5,3778.614341,1,1,1.558397907,17.89999962,2.75999999,0.319999993
"Alburnus_heckeli",5.85040229255728,5588.61720755946,1,1.88611238681599,1.55181078846982,14.53999996,2.789999962,0.379999995
"Alburnus_doriae",5.651864241,5749.602129,1,1.887288914,1.241720046,14.88000011,2.779999971,0.370000005
"Alburnus_caeruleus",5.339615417,5875.16452,1,1.947688685,1.603885887,9.210000038,2.839999914,0.579999983
"Alburnus_atropatenae",4.621768319,4019.303983,1,1.743529249,1.590993599,13.90999985,2.789999962,0.400000006
"Alburnus_akili",5.26673006,5746.498766,1,1.941934663,1.572604913,1.789999962,3.00999999,2.660000086
"Chondrostoma_variabile",7,7048.586653,1,2.25,1.661793125,35,2.450000048,0.170000002
"Chondrostoma_scodrense",5.424658011,3178.386341,1,1.847026563,1.588011108,16.46999931,2.599999905,0.340000004
"Chondrostoma_orientale",7.230196231,7102.88310700001,1,2.350780926,1.69025332,18.54000092,2.579999924,0.310000002
"Chondrostoma_kubanicum",7.785573797,1187.5,1,3,1.711165375,42.70000076,2.420000076,0.140000001
"Chondrostoma_cyri",6.618889588,5594.933097,1,2.154975816,1.642783482,30.01000023,2.99000001,0.200000003
"Chondrostoma_colchicum",6.63795073962458,5351.84511057568,1,2.10917206954565,1.58396527311623,28,2.5,0.209999993
"Achondrostoma_oligolepis",5.312857919,3737.614651,1,1.867484914,1.529334538,25,2.890000105,0.230000004
"Achondrostoma_arcasii",11.13837683,1975.607241,1,1.866666675,1.468744119,25,3.5,0.270000011
"Pseudochondrostoma_duriense",5.979804481,8476.64970700001,1,2.03540138,1.689236191,48.8,2.49000001,0.119999997
"Pseudochondrostoma_polylepis",7,16224.64248,1,2,1.792258673,48.79999924,2.539999962,0.180000007
"Pseudochondrostoma_willkommii",6.33776819,10353.17947,1,2.13541409,1.712660366,48.8,2.450000048,0.119999997
"Parachondrostoma_miegii",7.779257503,6745.478462,1,2.25,1.708888915,30.5,2.880000114,0.189999998
"Parachondrostoma_toxostoma",10,5575,1,3.25,1.73462681,30,2.789999962,0.200000003
"Iberochondrostoma_lemmingii",14.05378855,1969.758503,1,1,1.423403231,25,2.819999933,0.230000004
